x,y,houhold,phouhold
351300,7636900,0.6614173228346457,0.11023622047244094
351300,7637100,40.346456692913385,6.724409448818897
351300,7636700,0.9921259842519685,0.16535433070866143
351500,7636700,5.351351351351352,1.4594594594594594
351700,7636700,2.675675675675676,0.7297297297297297
351500,7636900,1.1891891891891893,0.32432432432432434
351700,7637100,1.7837837837837838,0.4864864864864865
354500,7636700,7.875,4.5
354100,7636700,1.5,0.8571428571428571
354300,7636700,11.625,6.642857142857143
356500,7636900,1.5116279069767442,0.11627906976744186
356100,7636900,1.2093023255813953,0.09302325581395349
356500,7636700,7.8604651162790695,0.6046511627906976
355900,7636900,2.4186046511627906,0.18604651162790697
356900,7636700,20.321637426900583,6.502923976608187
356700,7636700,4.678362573099415,1.4970760233918128
359300,7636700,0.6545454545454545,0.2545454545454545
360500,7637500,2.618181818181818,1.018181818181818
360700,7637700,1.309090909090909,0.509090909090909
360700,7637500,0.6545454545454545,0.2545454545454545
359900,7637300,0.6545454545454545,0.2545454545454545
359700,7637500,4.909090909090909,1.9090909090909092
359700,7637100,3.272727272727273,1.2727272727272727
359900,7637100,2.618181818181818,1.018181818181818
360100,7637900,0.6545454545454545,0.2545454545454545
360700,7637900,0.6545454545454545,0.2545454545454545
361100,7636700,0.3191489361702128,0.0851063829787234
361100,7637500,14.680851063829786,3.9148936170212765
361500,7637100,4.074074074074074,0.7407407407407407
361500,7636900,4.481481481481482,0.8148148148148148
361500,7636700,2.4444444444444446,0.4444444444444444
361900,7636900,4.4,2.4
361900,7636700,6.6,3.6
363500,7637100,1.2258064516129032,0.1935483870967742
363300,7636700,14.096774193548388,2.225806451612903
363500,7636700,3.6774193548387095,0.5806451612903226
363700,7636900,3.462962962962963,1.6296296296296295
363700,7636700,8.814814814814815,4.148148148148148
363700,7637100,4.722222222222222,2.2222222222222223
363900,7636900,7.5625,2.75
363900,7636700,3.4375,1.25
364100,7636900,3.3783783783783785,1.6216216216216217
364100,7636700,21.62162162162162,10.378378378378379
367700,7637100,6.25,2.5
367900,7637100,9,3.6
367900,7636700,4.75,1.9
368100,7636700,1.0169491525423728,0.4745762711864407
368100,7637300,1.5254237288135593,0.711864406779661
368300,7636700,2.288135593220339,1.0677966101694916
368900,7636700,10.169491525423728,4.745762711864407
370500,7636700,8.125,4.375
370300,7636700,4.875,2.625
347700,7637100,28.568627450980394,6.450980392156863
347700,7636900,2.4313725490196076,0.5490196078431373
347900,7637100,50.653333333333336,18.34
347900,7636900,7.346666666666667,2.66
348300,7637100,17.387096774193548,5.532258064516129
348300,7636900,0.7096774193548387,0.22580645161290322
348300,7637300,3.903225806451613,1.2419354838709677
348700,7636900,22.666666666666668,11.333333333333334
348500,7636900,1.3333333333333333,0.6666666666666666
348900,7636900,4,2
349100,7636900,26.50537634408602,9.13978494623656
349300,7636900,2.4946236559139785,0.8602150537634409
350900,7637100,1.1666666666666667,0.2222222222222222
350300,7636900,3.5,0.6666666666666666
350700,7637100,2.7222222222222223,0.5185185185185185
350500,7636900,0.7777777777777778,0.14814814814814814
350300,7637100,1.9444444444444444,0.37037037037037035
350900,7636900,2.3333333333333335,0.4444444444444444
350500,7637100,0.3888888888888889,0.07407407407407407
350700,7636900,8.166666666666666,1.5555555555555556
351100,7637100,21.726027397260275,5.013698630136986
351100,7636900,4.273972602739726,0.9863013698630136
354100,7636900,1.8518518518518519,0.6666666666666666
354500,7636900,20.061728395061728,7.222222222222222
354300,7636900,3.0864197530864197,1.1111111111111112
355700,7636900,1.36,0.24
355500,7636900,15.64,2.76
356900,7636900,11,4
357900,7636900,2.1818181818181817,1.2
357700,7636900,17.818181818181817,9.8
361700,7636900,20,9
370500,7636900,32.19259259259259,12.562962962962963
370300,7636900,8.807407407407407,3.437037037037037
370700,7636900,20,13
347300,7637100,3.574468085106383,0.2553191489361702
347300,7637300,10.425531914893616,0.7446808510638298
347500,7637100,30,6
348100,7637100,40,15
348900,7637300,1.9767441860465116,0.46511627906976744
348900,7637100,3.1627906976744184,0.7441860465116279
348500,7637100,3.558139534883721,0.8372093023255814
348700,7637100,0.3953488372093023,0.09302325581395349
348500,7637300,24.906976744186046,5.8604651162790695
349100,7637100,11,3
353700,7637100,4.590163934426229,1.3770491803278688
353700,7637300,11.80327868852459,3.540983606557377
353500,7637100,3.278688524590164,0.9836065573770492
353700,7637700,0.32786885245901637,0.09836065573770492
353900,7637100,19,6
354100,7637100,11,6
354300,7637100,11,5
354500,7637100,34,12
354700,7637100,1.726027397260274,0.821917808219178
354700,7637300,19.273972602739725,9.178082191780822
355300,7637100,8.403846153846153,2.6538461538461537
354900,7637100,3.2884615384615383,1.0384615384615385
355100,7637100,7.3076923076923075,2.3076923076923075
355500,7637100,7.3076923076923075,2.4358974358974357
355500,7637300,3.076923076923077,1.0256410256410255
355700,7637100,3.4615384615384617,1.1538461538461537
355900,7637100,1.1538461538461537,0.38461538461538464
356900,7637100,15,11
357100,7637300,6.923076923076923,2.3076923076923075
357100,7637100,5.1923076923076925,1.7307692307692308
357500,7637300,2.8846153846153846,0.9615384615384616
357900,7637300,12.571428571428571,3.4285714285714284
357700,7637100,4.085714285714285,1.1142857142857143
357700,7637300,4.085714285714285,1.1142857142857143
357900,7637100,1.2571428571428571,0.34285714285714286
358500,7637300,1.2621359223300972,0.2912621359223301
358300,7637500,9.466019417475728,2.1844660194174756
358700,7637100,1.766990291262136,0.4077669902912621
358500,7637500,0.5048543689320388,0.11650485436893204
361700,7637100,20,8
365500,7637100,17.573033707865168,6.876404494382022
365300,7637100,5.426966292134831,2.1235955056179776
370900,7637300,0.3375,0.125
370300,7637700,1.35,0.5
370900,7637500,1.6875,0.625
370500,7637100,2.3625,0.875
370700,7637100,17.55,6.5
370900,7637700,1.0125,0.375
370700,7637700,0.3375,0.125
370500,7637500,1.0125,0.375
370900,7637100,0.675,0.25
370700,7637300,0.675,0.25
371700,7637100,6.695652173913044,1.9130434782608696
371500,7637100,7.304347826086956,2.0869565217391304
372100,7637300,37.29957805907173,17.717299578059073
372100,7637100,2.70042194092827,1.2827004219409284
372300,7637100,28,14
372500,7637100,16,6
346700,7637300,19,8
346900,7637300,27,11
347100,7637300,16,2
347500,7637300,34,9
347700,7637300,61,22
347900,7637300,38,18
348100,7637300,18,6
349100,7637300,3.5454545454545454,2.1818181818181817
349500,7637500,9.454545454545455,5.818181818181818
349700,7637500,13.673913043478262,5.630434782608695
349700,7637300,3.3260869565217392,1.3695652173913044
350900,7637300,18.16867469879518,2.5060240963855422
350700,7637300,10.831325301204819,1.4939759036144578
351100,7637300,48,15
351300,7637300,57,16
351500,7637300,21,6
351900,7637700,2.076923076923077,0.8076923076923077
351700,7637700,3.1153846153846154,1.2115384615384615
351900,7637900,4.846153846153846,1.8846153846153846
351700,7637900,4.846153846153846,1.8846153846153846
351900,7637500,0.6923076923076923,0.2692307692307692
351700,7637500,1.0384615384615385,0.40384615384615385
351700,7637300,1.3846153846153846,0.5384615384615384
352500,7637300,0.8666666666666667,0.4666666666666667
352500,7637500,3.466666666666667,1.8666666666666667
352300,7637500,3.033333333333333,1.6333333333333333
352300,7637700,3.466666666666667,1.8666666666666667
352500,7637700,2.1666666666666665,1.1666666666666667
353100,7637500,0.75,0.25
352700,7637700,6,2
352700,7637300,5.25,1.75
354100,7637300,13.052631578947368,2.4473684210526314
353900,7637300,2.9473684210526314,0.5526315789473685
354500,7637300,8.585365853658537,2.682926829268293
354300,7637300,7.414634146341464,2.317073170731707
354900,7637300,14.72,4.48
354900,7637500,8.28,2.52
355100,7637500,5.090909090909091,1.8181818181818181
355300,7637500,2.9696969696969697,1.0606060606060606
355100,7637300,5.9393939393939394,2.121212121212121
356300,7637300,2.27027027027027,0.32432432432432434
356700,7637700,2.27027027027027,0.32432432432432434
356500,7637300,2.27027027027027,0.32432432432432434
356300,7637500,2.27027027027027,0.32432432432432434
356500,7637700,2.6486486486486487,0.3783783783783784
356500,7637500,1.5135135135135136,0.21621621621621623
356700,7637300,0.7567567567567568,0.10810810810810811
356900,7637300,2.619047619047619,0.47619047619047616
356900,7637500,8.380952380952381,1.5238095238095237
358100,7637500,15.934065934065934,4.395604395604396
358100,7637900,0.9560439560439561,0.26373626373626374
358100,7637300,4.142857142857143,1.1428571428571428
358100,7637700,7.967032967032967,2.197802197802198
